model_PTC-Net_20250822_1938_epoch_403, 91.13, 78.82, 94.72, 82.02, 91.46, 79.70, 88.75, 81.24, 91.52, 80.45
model_PTC-Net_20250822_1938_epoch_404, 91.04, 78.86, 93.43, 80.79, 91.60, 79.04, 88.58, 80.61, 91.16, 79.82
model_PTC-Net_20250822_1938_epoch_405, 91.31, 79.07, 93.75, 80.86, 91.94, 78.96, 88.55, 80.46, 91.39, 79.84
model_PTC-Net_20250822_1938_epoch_406, 91.14, 78.81, 94.34, 81.89, 91.80, 78.83, 88.86, 81.27, 91.53, 80.20
model_PTC-Net_20250822_1938_epoch_407, 91.57, 79.44, 94.33, 81.11, 91.80, 79.23, 88.55, 81.24, 91.56, 80.26
model_PTC-Net_20250822_1938_epoch_408, 91.21, 79.05, 94.85, 81.57, 91.67, 79.84, 89.08, 81.42, 91.70, 80.47
model_PTC-Net_20250822_1938_epoch_409, 91.44, 79.33, 94.40, 81.96, 91.87, 79.84, 88.96, 81.57, 91.66, 80.67
model_PTC-Net_20250822_1938_epoch_410, 91.32, 79.24, 95.17, 81.44, 92.00, 79.84, 88.88, 81.42, 91.84, 80.49
model_PTC-Net_20250822_1938_epoch_411, 91.36, 79.32, 94.78, 81.63, 92.41, 79.43, 89.03, 81.50, 91.90, 80.47
model_PTC-Net_20250822_1938_epoch_412, 91.37, 79.32, 94.20, 81.57, 91.87, 79.70, 89.06, 81.47, 91.62, 80.52
model_PTC-Net_20250822_1938_epoch_413, 90.91, 78.71, 94.27, 81.45, 91.93, 80.51, 89.34, 81.29, 91.61, 80.49
model_PTC-Net_20250822_1938_epoch_414, 91.37, 79.26, 94.20, 81.24, 91.13, 80.38, 89.08, 80.96, 91.45, 80.46
model_PTC-Net_20250822_1938_epoch_415, 91.38, 79.29, 94.20, 81.31, 92.00, 79.43, 88.98, 81.27, 91.64, 80.32
model_PTC-Net_20250822_1938_epoch_416, 91.47, 79.49, 94.59, 81.37, 91.20, 79.77, 89.56, 81.60, 91.70, 80.56
model_PTC-Net_20250822_1938_epoch_417, 91.43, 79.57, 94.40, 81.63, 91.06, 79.84, 89.13, 81.95, 91.51, 80.75
model_PTC-Net_20250822_1938_epoch_418, 91.29, 79.23, 95.17, 82.02, 91.19, 80.17, 88.78, 81.57, 91.61, 80.75
model_PTC-Net_20250822_1938_epoch_419, 91.33, 79.25, 94.27, 81.57, 91.06, 80.24, 88.55, 81.30, 91.30, 80.59
model_PTC-Net_20250822_1938_epoch_420, 91.20, 79.11, 94.78, 81.90, 91.60, 80.17, 89.29, 81.55, 91.72, 80.68
model_PTC-Net_20250822_1938_epoch_421, 91.64, 79.64, 94.59, 81.25, 91.06, 80.03, 89.06, 81.50, 91.59, 80.60
model_PTC-Net_20250822_1938_epoch_422, 91.34, 79.21, 95.17, 81.96, 90.93, 80.64, 89.08, 81.50, 91.63, 80.83
model_PTC-Net_20250822_1938_epoch_423, 91.38, 79.27, 95.43, 82.02, 91.80, 80.64, 89.03, 81.55, 91.91, 80.87
model_PTC-Net_20250822_1938_epoch_424, 91.17, 79.09, 94.65, 82.66, 91.80, 80.31, 89.54, 82.33, 91.79, 81.10
model_PTC-Net_20250822_1938_epoch_425, 91.16, 79.12, 95.04, 81.70, 91.00, 79.63, 89.06, 81.62, 91.56, 80.52
model_PTC-Net_20250822_1938_epoch_426, 91.41, 79.35, 94.98, 81.57, 91.40, 79.30, 89.16, 81.75, 91.74, 80.49
model_PTC-Net_20250822_1938_epoch_427, 91.48, 79.59, 94.59, 81.18, 91.33, 79.37, 88.98, 81.98, 91.60, 80.53
model_PTC-Net_20250822_1938_epoch_428, 91.38, 79.34, 94.33, 80.15, 91.60, 79.37, 88.68, 81.17, 91.50, 80.01
model_PTC-Net_20250822_1938_epoch_429, 91.33, 79.37, 94.92, 81.12, 91.19, 79.37, 88.60, 81.17, 91.51, 80.26
model_PTC-Net_20250822_1938_epoch_430, 91.45, 79.37, 94.52, 81.05, 90.99, 78.43, 88.93, 81.69, 91.48, 80.14
model_PTC-Net_20250822_1938_epoch_431, 91.38, 79.46, 94.65, 81.83, 90.72, 79.16, 89.08, 81.22, 91.46, 80.42
model_PTC-Net_20250822_1938_epoch_432, 91.32, 79.29, 95.17, 81.38, 91.06, 79.30, 89.21, 81.55, 91.69, 80.38
model_PTC-Net_20250822_1938_epoch_433, 90.17, 77.66, 94.85, 82.40, 90.79, 78.36, 89.16, 81.85, 91.24, 80.07
model_PTC-Net_20250822_1938_epoch_434, 91.46, 79.41, 94.40, 81.83, 91.26, 79.70, 89.03, 82.10, 91.54, 80.76
model_PTC-Net_20250822_1938_epoch_435, 91.38, 79.32, 94.59, 81.77, 90.72, 80.31, 89.08, 82.02, 91.44, 80.85
model_PTC-Net_20250822_1938_epoch_436, 91.27, 79.26, 94.53, 80.92, 91.53, 79.50, 89.13, 81.92, 91.62, 80.40
model_PTC-Net_20250822_1938_epoch_437, 91.44, 79.41, 94.53, 80.86, 92.07, 80.37, 89.16, 81.75, 91.80, 80.60
model_PTC-Net_20250822_1938_epoch_438, 91.15, 79.03, 94.98, 81.82, 91.67, 79.70, 89.11, 81.87, 91.72, 80.61
model_PTC-Net_20250822_1938_epoch_439, 91.34, 79.11, 94.98, 82.15, 91.26, 79.03, 89.13, 81.64, 91.68, 80.48
model_PTC-Net_20250822_1938_epoch_440, 91.35, 79.25, 94.78, 81.51, 90.92, 78.76, 89.06, 81.55, 91.53, 80.27
model_PTC-Net_20250822_1938_epoch_441, 91.37, 79.27, 94.33, 81.63, 91.06, 78.56, 89.23, 82.20, 91.50, 80.42
model_PTC-Net_20250822_1938_epoch_442, 91.21, 79.05, 94.65, 81.57, 90.39, 78.76, 89.01, 81.62, 91.32, 80.25
model_PTC-Net_20250822_1938_epoch_443, 91.28, 79.30, 94.65, 81.64, 91.20, 79.03, 88.96, 82.05, 91.52, 80.50
model_PTC-Net_20250822_1938_epoch_444, 91.30, 79.07, 94.66, 81.64, 90.59, 78.56, 88.88, 81.67, 91.36, 80.24
model_PTC-Net_20250822_1938_epoch_445, 91.44, 79.29, 94.66, 81.64, 90.39, 78.77, 89.09, 80.99, 91.39, 80.17
model_PTC-Net_20250822_1938_epoch_446, 91.46, 79.41, 94.92, 82.08, 91.00, 79.71, 89.11, 81.42, 91.62, 80.66
model_PTC-Net_20250822_1938_epoch_447, 91.33, 79.07, 94.98, 82.08, 91.00, 79.16, 89.31, 82.08, 91.65, 80.60
model_PTC-Net_20250822_1938_epoch_448, 91.32, 79.13, 94.66, 82.47, 91.20, 79.63, 89.08, 82.10, 91.56, 80.83
model_PTC-Net_20250822_1938_epoch_449, 90.81, 78.49, 94.92, 82.28, 91.93, 80.24, 88.68, 81.75, 91.58, 80.69
